Title,Runtime,User Rating,Metascore,Votes,Imdb Gross,Genre
Hotel Transylvania 3: Summer Vacation,97 min,6.3,54        ,64686,"167,510,016",Animation
Casino Royale,144 min,8.0,80        ,618758,"167,445,960",Action
Meet the Parents,108 min,7.0,73        ,321617,"166,244,045",Comedy
Fifty Shades of Grey,125 min,4.1,46        ,307545,"166,167,230",Drama
2012,158 min,5.8,49        ,364847,"166,112,167",Action
Knives Out,130 min,7.9,82        ,541108,"165,359,751",Comedy
Kung Fu Panda 2,90 min,7.2,67        ,266984,"165,249,063",Animation
Hannibal,131 min,6.8,57        ,264361,"165,092,268",Crime
Catch Me If You Can,141 min,8.1,75        ,893036,"164,615,351",Biography
The Proposal,108 min,6.7,48        ,308480,"163,958,031",Comedy
The Pursuit of Happyness,117 min,8.0,64        ,475788,"163,566,459",Biography
Clash of the Titans,106 min,5.8,39        ,276523,"163,214,888",Action
The SpongeBob Movie: Sponge Out of Water,92 min,6.0,62        ,52549,"162,994,032",Animation
Django Unchained,165 min,8.4,81        ,1435912,"162,805,434",Drama
Jason Bourne,123 min,6.6,58        ,216674,"162,434,410",Action
Grown Ups,102 min,6.0,30        ,238172,"162,001,186",Comedy            
Ice Age: Continental Drift,88 min,6.5,49        ,199690,"161,321,843",Animation
Straight Outta Compton,147 min,7.8,72        ,189595,"161,197,785",Biography
Die Another Day,133 min,6.1,56        ,212741,"160,942,139",Action
Shark Tale,90 min,6.0,48        ,174709,"160,861,908",Animation
How to Train Your Dragon: The Hidden World,104 min,7.5,71        ,115811,"160,799,505",Animation
The Heat,117 min,6.6,60        ,166948,"159,582,188",Action
Fantastic Beasts: The Crimes of Grindelwald,134 min,6.5,52        ,240286,"159,555,901",Adventure
Halloween,106 min,6.6,67        ,136377,"159,342,015",Crime
1917,119 min,8.3,78        ,499637,"159,227,644",Action
The Secret Life of Pets 2,86 min,6.5,55        ,56978,"158,874,395",Animation
Star Trek Beyond,122 min,7.0,68        ,237539,"158,848,340",Action
The Longest Yard,113 min,6.4,48        ,170068,"158,119,460",Comedy
X-Men,104 min,7.4,64        ,589774,"157,299,717",Action
Scary Movie,88 min,6.2,48        ,244668,"157,019,771",Comedy            
What Lies Beneath,130 min,6.6,51        ,122085,"155,464,351",Drama
X-Men: Apocalypse,144 min,6.9,52        ,411338,"155,442,489",Action
Snow White and the Huntsman,127 min,6.1,57        ,281302,"155,332,381",Action
San Andreas,114 min,6.1,43        ,225146,"155,190,832",Action
Fast & Furious,107 min,6.6,46        ,275941,"155,064,265",Action
Over the Hedge,83 min,6.7,67        ,167058,"155,019,340",Animation
Fantastic Four,106 min,5.7,40        ,319633,"154,696,080",Action
Horton Hears a Who!,86 min,6.8,71        ,134688,"154,529,439",Animation
Mad Max: Fury Road,120 min,8.1,90        ,932965,"154,058,340",Action
Trolls,92 min,6.5,55        ,76602,"153,707,064",Animation
Scooby-Doo,86 min,5.2,35        ,105775,"153,288,182",Adventure
Cars 3,102 min,6.7,59        ,86240,"152,901,115",Animation
Sex and the City,145 min,5.6,53        ,118886,"152,647,258",Comedy
G.I. Joe: The Rise of Cobra,118 min,5.8,32        ,204971,"152,267,519",Action
La La Land,128 min,8.0,94        ,540910,"151,101,803",Comedy
Divergent,139 min,6.6,48        ,440742,"150,947,895",Action
We're the Millers,110 min,7.0,44        ,424720,"150,394,119",Comedy
Terminator 3: Rise of the Machines,109 min,6.3,66        ,387379,"150,371,112",Action
Daddy's Home,96 min,6.2,42        ,114066,"150,357,137",Comedy
Neighbors,97 min,6.3,68        ,298453,"150,157,400",Comedy            
American Hustle,138 min,7.2,90        ,463377,"150,117,807",Crime
Puss in Boots,90 min,6.6,65        ,151108,"149,260,504",Animation
Sonic the Hedgehog,99 min,6.5,47        ,107271,"148,974,665",Action
Les Misérables,158 min,7.6,63        ,318811,"148,809,770",Drama
Knocked Up,129 min,6.9,85        ,359652,"148,734,225",Comedy
Megamind,95 min,7.3,63        ,242244,"148,415,853",Animation
Little Fockers,98 min,5.5,27        ,109880,"148,383,780",Comedy
Hotel Transylvania,91 min,7.1,47        ,237981,"148,313,048",Animation
Talladega Nights: The Ballad of Ricky Bobby,108 min,6.6,66        ,175681,"148,213,377",Comedy
Gran Torino,116 min,8.1,72        ,744630,"148,095,302",Drama            
War for the Planet of the Apes,140 min,7.4,82        ,240495,"146,880,162",Action
X: First Class,131 min,7.7,65        ,664859,"146,408,305",Action
Lilo & Stitch,92 min,7.3,73        ,178130,"145,794,338",Animation
American Pie 2,108 min,6.4,43        ,247641,"145,103,595",Comedy            
Taken,90 min,7.8,51        ,582274,"145,000,989",Action
The Great Gatsby,143 min,7.2,55        ,506154,"144,840,419",Drama
"I, Robot",115 min,7.1,59        ,516852,"144,801,023",Action
The Fast and the Furious,106 min,6.8,58        ,369192,"144,533,925",Action
Mamma Mia!,108 min,6.4,51        ,228698,"144,130,063",Comedy
Pokémon Detective Pikachu,104 min,6.6,53        ,150813,"144,105,346",Action
Rio,96 min,6.9,63        ,216268,"143,619,809",Animation
Kung Fu Panda 3,95 min,7.1,66        ,145204,"143,528,619",Animation
Juno,96 min,7.4,81        ,504297,"143,495,265",Comedy
Marley & Me,115 min,7.1,53        ,152363,"143,153,751",Comedy
The Meg,113 min,5.6,46        ,161222,"143,005,856",Action
The Smurfs,103 min,5.4,30        ,87216,"142,614,158",Animation
Once Upon a Time... In Hollywood,161 min,7.6,83        ,646189,"142,502,728",Comedy
xXx,124 min,5.9,48        ,176771,"142,109,382",Action
The Chronicles of Narnia: Prince Caspian,150 min,6.5,62        ,202024,"141,621,490",Action
Slumdog Millionaire,120 min,8.0,84        ,819874,"141,319,928",Drama
Shazam!,132 min,7.0,71        ,297856,"140,371,656",Action
Ocean's Eight,110 min,6.3,61        ,202627,"140,218,711",Action
Rush Hour 3,91 min,6.2,44        ,160297,"140,125,968",Action
Taken 2,92 min,6.3,45        ,298166,"139,854,287",Action
The Matrix Revolutions,129 min,6.8,47        ,471351,"139,313,948",Action
The Santa Clause 2,104 min,5.7,48        ,53209,"139,236,327",Comedy
The King's Speech,118 min,8.0,88        ,658161,"138,797,449",Biography
Cheaper by the Dozen,98 min,5.9,46        ,98512,"138,614,544",Comedy
Bad Boys II,147 min,6.6,38        ,240711,"138,608,444",Action
21 Jump Street,109 min,7.2,69        ,529206,"138,447,667",Action
Split,117 min,7.3,62        ,458236,"138,291,365",Horror
A Christmas Carol,96 min,6.8,55        ,107502,"137,855,863",Animation
Dinosaur,82 min,6.5,56        ,57084,"137,748,063",Animation
Ready Player One,140 min,7.4,64        ,400280,"137,690,172",Action
The Conjuring,112 min,7.5,68        ,476082,"137,400,141",Horror
Click,107 min,6.4,45        ,317395,"137,355,633",Comedy
Argo,120 min,7.7,86        ,592273,"136,025,503",Biography
Anger Management,106 min,6.2,52        ,209434,"135,645,823",Comedy            
Chicken Little,81 min,5.7,48        ,89271,"135,386,665",Animation
Ride Along,99 min,6.2,41        ,108772,"134,938,200",Action
Live Free or Die Hard,128 min,7.1,69        ,397352,"134,529,403",Action
The Incredible Hulk,112 min,6.6,61        ,458126,"134,518,390",Action
